,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,171,184,170,122,130,0.17236930131912231,0.1270630806684494,0.08685396611690521,0.06546179950237274,0.05948682501912117
1,64,70,136,109,108,0.6118992567062378,0.23060786724090576,0.02260313183069229,0.02023458667099476,0.019061367958784103
2,136,112,198,113,97,0.44926270842552185,0.4309937059879303,0.0475689060986042,0.027421921491622925,0.00959099642932415
3,55,80,183,194,91,0.3966049551963806,0.1936444640159607,0.09118270128965378,0.0866270437836647,0.08197852969169617
4,97,24,66,136,112,0.49579399824142456,0.46957212686538696,0.015165964141488075,0.006070601753890514,0.0044686985202133656
5,97,24,112,136,93,0.34703707695007324,0.3158615231513977,0.1677834689617157,0.1502334177494049,0.003246404929086566
