,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,16,149,78,158,176,0.7364345788955688,0.2136254757642746,0.010383741930127144,0.00898706540465355,0.008169518783688545
1,24,97,66,11,112,0.7353578805923462,0.22720718383789062,0.029879843816161156,0.005602694116532803,0.0004011928685940802
2,136,112,113,198,129,0.28477510809898376,0.19358114898204803,0.12359286844730377,0.08377636969089508,0.0681147426366806
