neighbourhood,prices,,,
Batignolles-Monceau,96,,,
Bourse,130,,,
Buttes-Chaumont,73,,,
Buttes-Montmartre,83,,,
Entrepot,91,,,
Gobelins,90,,,
HoteldeVille,143,,,
Louvre,144,,,
Luxembourg,158,,,
Menilmontant,77,,,
Observatoire,88,,,
Opera,107,,,
Palais-Bourbon,141,,,
Pantheon,136,,,
Passy,113,,,
Popincourt,88,,,
Reuilly,82,,,
Temple,129,,,
Vaugirard,98,,,
Elysee,167,,,
