,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5,ID
31,79,141,38,121,149,0.1416919231414795,0.1009095311164856,0.08428074419498444,0.08256658166646957,0.05371708422899246,1272493_0.jpg
32,79,141,38,121,149,0.1416919231414795,0.1009095311164856,0.08428074419498444,0.08256658166646957,0.05371708422899246,1272493_1.jpg
33,136,112,97,24,113,0.3221087157726288,0.2981507480144501,0.1214914545416832,0.07653205841779709,0.03882402926683426,1272493_2.jpg
34,112,136,198,24,97,0.5128193497657776,0.29657167196273804,0.0918174609541893,0.023544762283563614,0.020311029627919197,1272493_3.jpg
35,138,154,195,181,55,0.3793623447418213,0.22554759681224823,0.12884309887886047,0.03424423187971115,0.027797874063253403,1272493_4.jpg
36,109,108,84,112,93,0.39519649744033813,0.38236498832702637,0.040544793009757996,0.03162465617060661,0.027999330312013626,1272493_5.jpg
37,3,63,6,31,196,0.3188738226890564,0.15839195251464844,0.060996245592832565,0.05023558810353279,0.047947414219379425,1272493_6.jpg
38,97,167,24,71,136,0.33978378772735596,0.2384442836046219,0.22081275284290314,0.03292445093393326,0.015369102358818054,1332864_0.jpg
39,97,167,24,71,136,0.33978378772735596,0.2384442836046219,0.22081275284290314,0.03292445093393326,0.015369102358818054,1332864_1.jpg
40,92,63,135,67,52,0.46419182419776917,0.10727627575397491,0.0914468914270401,0.03508838266134262,0.027858536690473557,1332864_2.jpg
41,24,97,95,66,105,0.6475976705551147,0.2814871668815613,0.025370333343744278,0.01790459454059601,0.006308487616479397,1332864_3.jpg
42,24,97,95,66,45,0.6633206605911255,0.24933485686779022,0.039179153740406036,0.025415223091840744,0.006964175496250391,1332864_4.jpg
43,112,136,24,97,64,0.23137256503105164,0.2135523110628128,0.1580914407968521,0.13280043005943298,0.033797528594732285,1332864_5.jpg
44,64,70,136,112,93,0.6502401232719421,0.17564597725868225,0.07355576008558273,0.027231816202402115,0.011931258253753185,1332864_6.jpg
45,105,24,66,97,95,0.49341291189193726,0.23286095261573792,0.12200919538736343,0.07334298640489578,0.055163782089948654,1334302_0.jpg
46,105,24,66,97,95,0.49341291189193726,0.23286095261573792,0.12200919538736343,0.07334298640489578,0.055163782089948654,1334302_1.jpg
47,167,20,114,45,71,0.9916659593582153,0.0020165760070085526,0.001099596032872796,0.0006206651451066136,0.0006045995396561921,1334302_2.jpg
48,25,65,132,148,31,0.21894235908985138,0.08007099479436874,0.06051812693476677,0.054712869226932526,0.05189024284482002,1353462_0.jpg
49,25,65,132,148,31,0.21894235908985138,0.08007099479436874,0.06051812693476677,0.054712869226932526,0.05189024284482002,1353462_1.jpg
50,71,24,167,140,97,0.13558253645896912,0.12275169789791107,0.11543890088796616,0.06602966785430908,0.05742139369249344,1353462_2.jpg
51,24,97,66,112,136,0.5094625353813171,0.4759742319583893,0.010749446228146553,0.001692543039098382,0.0007109957514330745,1353462_3.jpg
52,167,12,64,51,15,0.18972471356391907,0.15407171845436096,0.06093967705965042,0.06069507449865341,0.043112050741910934,1353462_4.jpg
53,195,204,138,25,55,0.5875067114830017,0.09452836960554123,0.054820068180561066,0.0358378067612648,0.026415903121232986,1353462_5.jpg
54,195,138,164,142,139,0.324557900428772,0.22015142440795898,0.04378820210695267,0.037538912147283554,0.028377030044794083,1353462_6.jpg
55,128,195,47,25,91,0.10014267265796661,0.09220908582210541,0.07452694326639175,0.05469043180346489,0.05358686298131943,1381100_0.jpg
56,26,65,90,47,128,0.3363521993160248,0.2695024907588959,0.2412889003753662,0.031814321875572205,0.02784130536019802,1484044_0.jpg
57,171,13,133,170,41,0.12938739359378815,0.10165305435657501,0.08359494060277939,0.0821664109826088,0.07424242794513702,150848_0.jpg
58,24,11,97,127,136,0.722051739692688,0.12298153340816498,0.07535665482282639,0.03072199784219265,0.008574185892939568,1645814_0.jpg
59,24,11,97,127,136,0.722051739692688,0.12298153340816498,0.07535665482282639,0.03072199784219265,0.008574185892939568,1645814_1.jpg
60,11,24,136,195,112,0.1255384385585785,0.11590982973575592,0.09162825345993042,0.08502507209777832,0.06748631596565247,1645814_2.jpg
61,8,5,195,9,126,0.28269854187965393,0.07725250720977783,0.06034144014120102,0.05644390732049942,0.051453959196805954,1645814_3.jpg
62,97,24,95,64,167,0.6684467792510986,0.20842412114143372,0.055612266063690186,0.015766290947794914,0.00586581788957119,1645814_4.jpg
63,138,57,55,80,91,0.15982107818126678,0.13886494934558868,0.11943062394857407,0.07974028587341309,0.07247010618448257,1645814_5.jpg
64,80,55,28,204,81,0.4588993489742279,0.10944259166717529,0.08044788986444473,0.06045764684677124,0.04179353639483452,1645814_6.jpg
65,64,24,97,112,136,0.2365739345550537,0.15886515378952026,0.11261902749538422,0.10291192680597305,0.09874528646469116,1648900_0.jpg
66,64,24,97,112,136,0.2365739345550537,0.15886515378952026,0.11261902749538422,0.10291192680597305,0.09874528646469116,1648900_1.jpg
67,97,24,66,11,112,0.5224384069442749,0.43554288148880005,0.02785312756896019,0.009324900805950165,0.0010196954244747758,1648900_2.jpg
68,97,24,66,112,11,0.49187183380126953,0.44784507155418396,0.021291127428412437,0.015304128639400005,0.008077388629317284,1648900_3.jpg
69,135,67,60,76,92,0.22556976974010468,0.21119177341461182,0.08073140680789948,0.0763939619064331,0.05382702499628067,1648900_4.jpg
