,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5,ID
18,90,65,102,47,111,0.1865217387676239,0.12226666510105133,0.09027373790740967,0.08049450814723969,0.07706241309642792,296928_0.jpg
19,24,97,136,112,11,0.3794615566730499,0.2407699078321457,0.14870727062225342,0.12588484585285187,0.07550109922885895,3540774_0.jpg
20,24,97,136,112,11,0.3794615566730499,0.2407699078321457,0.14870727062225342,0.12588484585285187,0.07550109922885895,3540774_1.jpg
21,204,55,91,194,67,0.2228202521800995,0.21574172377586365,0.0989006981253624,0.09822555631399155,0.09122228622436523,3540774_2.jpg
22,24,97,136,112,11,0.5648013353347778,0.24131321907043457,0.052297987043857574,0.04870683699846268,0.022456886246800423,3540774_3.jpg
23,170,121,197,92,79,0.27462178468704224,0.09709228575229645,0.09483301639556885,0.08401134610176086,0.08120366185903549,3540774_4.jpg
24,24,97,11,136,112,0.6014976501464844,0.35498854517936707,0.016205672174692154,0.00815579853951931,0.007082771509885788,3540774_5.jpg
25,97,24,11,136,66,0.6206677556037903,0.3645614981651306,0.004943131469190121,0.0027706839609891176,0.0023791929706931114,3540774_6.jpg
26,195,136,112,64,70,0.2632724642753601,0.1608915627002716,0.09767735004425049,0.0708407610654831,0.07033468782901764,4104608_0.jpg
27,90,47,128,156,170,0.1351052075624466,0.12149067223072052,0.12018927186727524,0.11807852983474731,0.10369601100683212,4624905_0.jpg
28,121,193,156,102,170,0.18204465508460999,0.10589790344238281,0.10132195800542831,0.0972776785492897,0.08750685304403305,52662_0.jpg
29,151,115,130,56,13,0.19959573447704315,0.11373629420995712,0.10434571653604507,0.09923379123210907,0.08144344389438629,594613_0.jpg
30,136,24,112,97,195,0.20685791969299316,0.19734182953834534,0.17611457407474518,0.17276011407375336,0.0269472636282444,6401154_0.jpg
31,97,24,93,160,95,0.18983781337738037,0.18348729610443115,0.07455708831548691,0.0660339891910553,0.05759410932660103,6506207_0.jpg
32,97,24,93,160,95,0.18983781337738037,0.18348729610443115,0.07455708831548691,0.0660339891910553,0.05759410932660103,6506207_1.jpg
33,24,66,97,95,105,0.5289503335952759,0.12411916255950928,0.11835010349750519,0.04963231831789017,0.03963860496878624,6506207_2.jpg
34,97,24,95,66,64,0.5515373945236206,0.3469159007072449,0.04664614424109459,0.0291215181350708,0.003009831765666604,6506207_3.jpg
35,112,136,198,24,11,0.489024817943573,0.3516388535499573,0.03081655502319336,0.0264376699924469,0.022798476740717888,6506207_4.jpg
36,112,136,198,195,127,0.4748229384422302,0.3899519145488739,0.057316314429044724,0.01296302955597639,0.012909059412777424,6506207_5.jpg
